Price,LastUpdated
63.21,3/25/25 14:30
63.21,3/25/25 14:35
63.24,3/25/25 14:40
63.3,3/25/25 14:45
63.358,3/25/25 14:50
63.35,3/25/25 14:55
63.43,3/25/25 15:00
63.45,3/25/25 15:05
63.4683,3/25/25 15:10
63.46,3/25/25 15:15
63.45,3/25/25 15:20
63.45,3/25/25 15:25
63.51,3/25/25 15:30
63.455,3/25/25 15:35
63.5637,3/25/25 15:40
63.56,3/25/25 15:45
63.46,3/25/25 15:50
63.57,3/25/25 15:55
63.52,3/25/25 16:00
63.52,3/25/25 16:05
63.52,3/25/25 16:10
63.52,3/25/25 16:25
63.5,3/25/25 16:30
63.5,3/25/25 16:35
63.52,3/25/25 17:10
63.85,3/25/25 17:20
63.5,3/25/25 17:25
63.5,3/25/25 17:30
63.51,3/25/25 18:25
63.52,3/25/25 18:30
63.88,3/25/25 18:45
63.52,3/25/25 19:00
63.55,3/25/25 19:05
63.56,3/25/25 19:40
64.37,3/26/25 4:00
64.1,3/26/25 4:15
64.2,3/26/25 4:20
64.19,3/26/25 4:25
64.22,3/26/25 4:30
64.45,3/26/25 4:40
64.7,3/26/25 5:15
64.75,3/26/25 5:35
64.7,3/26/25 5:40
64.75,3/26/25 5:45
64.73,3/26/25 6:00
64.8,3/26/25 6:05
64.81,3/26/25 6:10
65,3/26/25 6:25
65.05,3/26/25 6:45
65,3/26/25 6:50
65.02,3/26/25 7:00
65,3/26/25 7:05
65.05,3/26/25 7:10
65.06,3/26/25 7:15
65.05,3/26/25 7:35
65.05,3/26/25 7:40
65.01,3/26/25 7:45
64.99,3/26/25 7:50
64.95,3/26/25 7:55
64.9,3/26/25 8:00
64.9152,3/26/25 8:05
64.9,3/26/25 8:10
65,3/26/25 8:15
65.04,3/26/25 8:20
65.0983,3/26/25 8:25
65.09,3/26/25 8:30
65.21,3/26/25 8:35
65.29,3/26/25 8:40
65.3999,3/26/25 8:45
65.23,3/26/25 8:50
65.26,3/26/25 8:55
65.16,3/26/25 9:00
65.2672,3/26/25 9:05
65.26,3/26/25 9:10
65.15,3/26/25 9:20
65.11,3/26/25 9:25
65.27,3/26/25 9:30
65.39,3/26/25 9:35
65.32,3/26/25 9:40
65.185,3/26/25 9:45
65.22,3/26/25 9:50
65.35,3/26/25 9:55
65.49,3/26/25 10:00
65.42,3/26/25 10:05
65.44,3/26/25 10:10
65.51,3/26/25 10:15
65.51,3/26/25 10:20
65.42,3/26/25 10:25
65.47,3/26/25 10:30
65.47,3/26/25 10:35
65.36,3/26/25 10:40
65.26,3/26/25 10:45
65.34,3/26/25 10:50
65.3405,3/26/25 10:55
65.455,3/26/25 11:00
65.52,3/26/25 11:05
